---- Start of CSV ----
Timestamp(ms),Vref_ADC,Vref_V,Vgas_ADC,Vgas_V,Batt_V,Batt_SOC,VoltageAlert,Sample_count
325,2380,1.9179,2361,1.9026,3.625,3.7,0,1
156,2391,1.9268,2375,1.9139,3.626,3.7,0,1
1682,2393,1.9284,2359,1.9010,3.626,3.4,0,2
3190,2391,1.9268,2363,1.9042,3.626,3.4,0,3
156,2388,1.9244,2363,1.9042,3.626,3.4,0,1
1682,2379,1.9171,2363,1.9042,3.621,3.0,0,2
3190,2383,1.9204,2357,1.8994,3.621,3.0,0,3
4698,2380,1.9179,2355,1.8978,3.621,3.0,0,4
6206,2388,1.9244,2357,1.8994,3.621,3.0,0,5
7714,2391,1.9268,2357,1.8994,3.621,3.0,0,6
9222,2383,1.9204,2357,1.8994,3.621,3.0,0,7
10730,2387,1.9236,2356,1.8986,3.621,3.0,0,8
12238,2391,1.9268,2357,1.8994,3.621,3.0,0,9
13746,2377,1.9155,2351,1.8946,3.621,3.0,0,10
15254,2387,1.9236,2351,1.8946,3.621,3.0,0,11
16762,2388,1.9244,2353,1.8962,3.621,3.0,0,12
18270,2387,1.9236,2355,1.8978,3.621,3.0,0,13
19778,2386,1.9228,2355,1.8978,3.621,3.0,0,14
21286,2392,1.9276,2350,1.8938,3.621,3.0,0,15
22794,2387,1.9236,2350,1.8938,3.621,3.0,0,16
24302,2389,1.9252,2351,1.8946,3.621,3.0,0,17
25810,2380,1.9179,2349,1.8930,3.621,3.0,0,18
27318,2380,1.9179,2351,1.8946,3.621,3.0,0,19
28826,2388,1.9244,2350,1.8938,3.621,3.0,0,20
30334,2392,1.9276,2348,1.8922,3.621,3.0,0,21
31842,2388,1.9244,2349,1.8930,3.621,3.0,0,22
33350,2392,1.9276,2349,1.8930,3.621,3.0,0,23
34858,2385,1.9220,2349,1.8930,3.621,3.0,0,24
36366,2383,1.9204,2348,1.8922,3.621,3.0,0,25
37874,2387,1.9236,2348,1.8922,3.621,3.0,0,26
39382,2380,1.9179,2347,1.8914,3.621,3.0,0,27
40890,2377,1.9155,2345,1.8897,3.621,3.0,0,28
42398,2380,1.9179,2347,1.8914,3.621,3.0,0,29
43906,2377,1.9155,2348,1.8922,3.621,3.0,0,30
45414,2389,1.9252,2347,1.8914,3.621,3.0,0,31
46922,2376,1.9147,2347,1.8914,3.621,3.0,0,32
48430,2391,1.9268,2347,1.8914,3.621,3.0,0,33
49938,2389,1.9252,2347,1.8914,3.621,3.0,0,34
51446,2380,1.9179,2347,1.8914,3.621,3.0,0,35
