Timestamp(ms),Vref_ADC,Vref_V,Vref_Filtered,Vgas_ADC,Vgas_V,Vgas_Filtered,Sampling_rate(fs),Cutoff_frequency(fc)
1013,1935,1.5593,1.5466,2038,1.6423,1.6581,1.00,0.10
2023,1997,1.6093,1.5528,1989,1.6029,1.6519,1.00,0.10
3024,1991,1.6045,1.5670,1990,1.6037,1.6388,1.00,0.10
4025,1992,1.6053,1.5833,1981,1.5964,1.6234,1.00,0.10
5026,1991,1.6045,1.5959,1975,1.5916,1.6099,1.00,0.10
6027,1992,1.6053,1.6035,1971,1.5884,1.5995,1.00,0.10
7028,1990,1.6037,1.6069,1963,1.5819,1.5920,1.00,0.10
8029,1991,1.6045,1.6077,1959,1.5787,1.5864,1.00,0.10
9030,1989,1.6029,1.6069,1960,1.5795,1.5823,1.00,0.10
10031,1991,1.6045,1.6057,1959,1.5787,1.5797,1.00,0.10
11032,1996,1.6085,1.6051,1964,1.5827,1.5787,1.00,0.10
12033,1993,1.6061,1.6053,1965,1.5835,1.5791,1.00,0.10
13034,1993,1.6061,1.6058,1967,1.5851,1.5806,1.00,0.10
14035,1991,1.6045,1.6059,1967,1.5851,1.5823,1.00,0.10
15036,1992,1.6053,1.6058,1973,1.5900,1.5841,1.00,0.10
16037,1993,1.6061,1.6056,1981,1.5964,1.5865,1.00,0.10
17038,1991,1.6045,1.6055,1982,1.5972,1.5898,1.00,0.10
18039,1995,1.6077,1.6055,1977,1.5932,1.5928,1.00,0.10
19040,1992,1.6053,1.6057,1977,1.5932,1.5945,1.00,0.10
20041,1991,1.6045,1.6058,1973,1.5900,1.5946,1.00,0.10
21042,1983,1.5980,1.6051,1965,1.5835,1.5932,1.00,0.10
22043,1983,1.5980,1.6033,1963,1.5819,1.5903,1.00,0.10
23044,1989,1.6029,1.6015,1955,1.5755,1.5865,1.00,0.10
24045,1991,1.6045,1.6009,1957,1.5771,1.5825,1.00,0.10
25046,1983,1.5980,1.6011,1955,1.5755,1.5792,1.00,0.10
26047,1991,1.6045,1.6012,1958,1.5779,1.5771,1.00,0.10
27048,1984,1.5988,1.6013,1963,1.5819,1.5765,1.00,0.10
28049,1991,1.6045,1.6014,1971,1.5884,1.5779,1.00,0.10
29050,1992,1.6053,1.6020,1971,1.5884,1.5809,1.00,0.10
30051,1995,1.6077,1.6032,1976,1.5924,1.5844,1.00,0.10
31052,1993,1.6061,1.6047,1981,1.5964,1.5880,1.00,0.10
32053,1993,1.6061,1.6057,1964,1.5827,1.5906,1.00,0.10
33054,1981,1.5964,1.6056,1977,1.5932,1.5911,1.00,0.10
34055,1983,1.5980,1.6039,1963,1.5819,1.5905,1.00,0.10
35056,1983,1.5980,1.6014,1962,1.5811,1.5886,1.00,0.10
36057,1983,1.5980,1.5995,1959,1.5787,1.5857,1.00,0.10
37058,1981,1.5964,1.5982,1955,1.5755,1.5825,1.00,0.10
38059,1991,1.6045,1.5978,1958,1.5779,1.5797,1.00,0.10
39060,1976,1.5924,1.5981,1955,1.5755,1.5777,1.00,0.10
40061,1991,1.6045,1.5983,1965,1.5835,1.5770,1.00,0.10
41062,1993,1.6061,1.5993,1964,1.5827,1.5779,1.00,0.10
42063,1989,1.6029,1.6013,1971,1.5884,1.5800,1.00,0.10
43064,1994,1.6069,1.6030,1977,1.5932,1.5830,1.00,0.10
44065,1991,1.6045,1.6043,1973,1.5900,1.5865,1.00,0.10
45066,1981,1.5964,1.6045,1967,1.5851,1.5888,1.00,0.10
46067,1981,1.5964,1.6030,1975,1.5916,1.5895,1.00,0.10
47068,1982,1.5972,1.6006,1965,1.5835,1.5894,1.00,0.10
48069,1983,1.5980,1.5987,1961,1.5803,1.5881,1.00,0.10
49070,1981,1.5964,1.5976,1960,1.5795,1.5856,1.00,0.10
50071,1973,1.5900,1.5965,1957,1.5771,1.5828,1.00,0.10
51072,1981,1.5964,1.5951,1955,1.5755,1.5802,1.00,0.10
52073,1980,1.5956,1.5944,1955,1.5755,1.5779,1.00,0.10
53074,1981,1.5964,1.5946,1951,1.5722,1.5761,1.00,0.10
54075,1980,1.5956,1.5950,1959,1.5787,1.5750,1.00,0.10
55076,1989,1.6029,1.5959,1959,1.5787,1.5751,1.00,0.10
56077,1981,1.5964,1.5972,1963,1.5819,1.5763,1.00,0.10
57078,1983,1.5980,1.5981,1965,1.5835,1.5782,1.00,0.10
58079,1993,1.6061,1.5989,1972,1.5892,1.5807,1.00,0.10
59080,1989,1.6029,1.6004,1977,1.5932,1.5839,1.00,0.10
60081,1983,1.5980,1.6016,1976,1.5924,1.5874,1.00,0.10
61082,1981,1.5964,1.6013,1971,1.5884,1.5900,1.00,0.10
62083,1982,1.5972,1.6000,1961,1.5803,1.5903,1.00,0.10
63084,1981,1.5964,1.5987,1966,1.5843,1.5886,1.00,0.10
64085,1983,1.5980,1.5976,1961,1.5803,1.5862,1.00,0.10
65086,1979,1.5948,1.5970,1951,1.5722,1.5833,1.00,0.10
66087,1972,1.5892,1.5960,1943,1.5658,1.5793,1.00,0.10
67088,1979,1.5948,1.5945,1947,1.5690,1.5746,1.00,0.10
68089,1977,1.5932,1.5935,1959,1.5787,1.5716,1.00,0.10
69090,1983,1.5980,1.5934,1951,1.5722,1.5712,1.00,0.10
70091,1983,1.5980,1.5943,1959,1.5787,1.5722,1.00,0.10
71092,1989,1.6029,1.5960,1963,1.5819,1.5741,1.00,0.10
72093,1983,1.5980,1.5979,1967,1.5851,1.5770,1.00,0.10
73094,1983,1.5980,1.5990,1965,1.5835,1.5801,1.00,0.10
74095,1983,1.5980,1.5992,1966,1.5843,1.5824,1.00,0.10
75096,1979,1.5948,1.5988,1975,1.5916,1.5843,1.00,0.10
76097,1989,1.6029,1.5983,1967,1.5851,1.5862,1.00,0.10
77098,1979,1.5948,1.5982,1965,1.5835,1.5870,1.00,0.10
78099,1979,1.5948,1.5978,1961,1.5803,1.5863,1.00,0.10
79100,1979,1.5948,1.5968,1957,1.5771,1.5844,1.00,0.10
80101,1979,1.5948,1.5959,1951,1.5722,1.5815,1.00,0.10
81102,1977,1.5932,1.5951,1947,1.5690,1.5779,1.00,0.10
82103,1973,1.5900,1.5941,1947,1.5690,1.5743,1.00,0.10
83104,1978,1.5940,1.5931,1949,1.5706,1.5714,1.00,0.10
84105,1979,1.5948,1.5927,1957,1.5771,1.5704,1.00,0.10
85106,1983,1.5980,1.5933,1961,1.5803,1.5715,1.00,0.10
86107,1983,1.5980,1.5946,1963,1.5819,1.5743,1.00,0.10
87108,1983,1.5980,1.5960,1967,1.5851,1.5776,1.00,0.10
88109,1983,1.5980,1.5972,1967,1.5851,1.5807,1.00,0.10
89110,1972,1.5892,1.5973,1963,1.5819,1.5830,1.00,0.10
90111,1978,1.5940,1.5961,1964,1.5827,1.5839,1.00,0.10
91112,1979,1.5948,1.5947,1955,1.5755,1.5834,1.00,0.10
92113,1977,1.5932,1.5940,1959,1.5787,1.5818,1.00,0.10
93114,1980,1.5956,1.5938,1951,1.5722,1.5796,1.00,0.10
94115,1977,1.5932,1.5939,1947,1.5690,1.5769,1.00,0.10
95116,1976,1.5924,1.5938,1955,1.5755,1.5744,1.00,0.10
96117,1977,1.5932,1.5935,1950,1.5714,1.5729,1.00,0.10
97118,1979,1.5948,1.5934,1955,1.5755,1.5724,1.00,0.10
98119,1977,1.5932,1.5935,1959,1.5787,1.5730,1.00,0.10
99120,1981,1.5964,1.5938,1964,1.5827,1.5748,1.00,0.10
100121,1977,1.5932,1.5942,1963,1.5819,1.5774,1.00,0.10
101122,1963,1.5819,1.5935,1967,1.5851,1.5799,1.00,0.10
102123,1977,1.5932,1.5916,1963,1.5819,1.5819,1.00,0.10
103124,1977,1.5932,1.5905,1957,1.5771,1.5827,1.00,0.10
104125,1979,1.5948,1.5909,1956,1.5763,1.5817,1.00,0.10
105126,1979,1.5948,1.5920,1948,1.5698,1.5795,1.00,0.10
106127,1975,1.5916,1.5930,1948,1.5698,1.5764,1.00,0.10
107128,1965,1.5835,1.5927,1944,1.5666,1.5731,1.00,0.10
108129,1975,1.5916,1.5912,1941,1.5642,1.5701,1.00,0.10
109130,1979,1.5948,1.5903,1948,1.5698,1.5678,1.00,0.10
110131,1979,1.5948,1.5910,1951,1.5722,1.5671,1.00,0.10
111132,1977,1.5932,1.5922,1955,1.5755,1.5683,1.00,0.10
112133,1979,1.5948,1.5931,1959,1.5787,1.5707,1.00,0.10
113134,1979,1.5948,1.5939,1971,1.5884,1.5743,1.00,0.10
114135,1981,1.5964,1.5946,1967,1.5851,1.5787,1.00,0.10
115136,1978,1.5940,1.5951,1963,1.5819,1.5823,1.00,0.10
116137,1981,1.5964,1.5953,1955,1.5755,1.5834,1.00,0.10
117138,1977,1.5932,1.5953,1959,1.5787,1.5824,1.00,0.10
118139,1974,1.5908,1.5948,1957,1.5771,1.5806,1.00,0.10
119140,1973,1.5900,1.5936,1951,1.5722,1.5787,1.00,0.10
120141,1973,1.5900,1.5922,1946,1.5682,1.5763,1.00,0.10
121142,1977,1.5932,1.5912,1961,1.5803,1.5741,1.00,0.10
122143,1975,1.5916,1.5910,1945,1.5674,1.5732,1.00,0.10
123144,1976,1.5924,1.5913,1948,1.5698,1.5723,1.00,0.10
124145,1977,1.5932,1.5917,1951,1.5722,1.5713,1.00,0.10
125146,1981,1.5964,1.5924,1959,1.5787,1.5714,1.00,0.10
126147,1977,1.5932,1.5933,1965,1.5835,1.5733,1.00,0.10
127148,1976,1.5924,1.5939,1965,1.5835,1.5765,1.00,0.10
128149,1972,1.5892,1.5935,1961,1.5803,1.5795,1.00,0.10
129150,1979,1.5948,1.5928,1955,1.5755,1.5808,1.00,0.10
130151,1974,1.5908,1.5924,1955,1.5755,1.5803,1.00,0.10
131152,1975,1.5916,1.5921,1955,1.5755,1.5787,1.00,0.10
132153,1979,1.5948,1.5920,1947,1.5690,1.5768,1.00,0.10
133154,1975,1.5916,1.5923,1944,1.5666,1.5742,1.00,0.10
134155,1975,1.5916,1.5924,1958,1.5779,1.5719,1.00,0.10
135156,1976,1.5924,1.5923,1949,1.5706,1.5714,1.00,0.10
136157,1973,1.5900,1.5921,1955,1.5755,1.5718,1.00,0.10
137158,1977,1.5932,1.5918,1951,1.5722,1.5724,1.00,0.10
138159,1979,1.5948,1.5919,1963,1.5819,1.5735,1.00,0.10
139160,1977,1.5932,1.5925,1964,1.5827,1.5756,1.00,0.10
